Reference,https://en.wikipedia.org/wiki/United_States_presidential_election,,,,,,,,,Copied on Dec 15 2024,
Year,Party,Presidential candidate,Vice presidential candidate,Popular vote,Total voting population,Popular vote percentage (%),Electoral votes,Total electoral votes,Percentage of electoral votes,Notes,Winner
1788,Independent,George Washington,None,"43,782","43,782",100.00%,69,138,50.00%,Vice Presidents were decided as second place at this point.  Washington was extremely popular with the people.,TRUE
1788,Federalist,John Adams,None,0,"43,782",0.00%,34,138,24.64%,Vice Presidents were decided as second place at this point. Adams became Vice President due to winning the electoral votes.,FALSE
1788,Federalist,John Jay,None,0,"43,782",0.00%,9,138,6.52%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Robert H. Harrison,None,0,"43,782",0.00%,6,138,4.35%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Rutledge,None,0,"43,782",0.00%,6,138,4.35%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Hancock,None,0,"43,782",0.00%,4,138,2.90%,Vice Presidents were decided as second place at this point.,FALSE
1788,Anti-Administration,George Clinton,None,0,"43,782",0.00%,3,138,2.17%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Samuel Huntington,None,0,"43,782",0.00%,2,138,1.45%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Milton,None,0,"43,782",0.00%,2,138,1.45%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,James Armstrong,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Benjamin Lincoln,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1788,Anti-Administration,Edward Telfair,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1792,Independent,George Washington,None,"28,579","28,579",100.00%,132,264,50.00%,Vice Presidents were decided as second place at this point.  Washington was extremely popular with the people.,TRUE
1792,Federalist,John Adams,None,0,"28,579",0.00%,77,264,29.17%,Vice Presidents were decided as second place at this point. Adams became Vice President due to winning the electoral votes and popular on the Federalist party ticket.,FALSE
1792,Democratic-Republican,George Clinton,None,0,"28,579",0.00%,50,264,18.94%,Vice Presidents were decided as second place at this point.  Clinton was the most popular choice for Vice President for the Democratic-Republican ticket.,FALSE
1792,Democratic-Republican,Thomas Jefferson,None,0,"28,579",0.00%,4,264,1.52%,Vice Presidents were decided as second place at this point.,FALSE
1792,Democratic-Republican,Aaron Burr,None,0,"28,579",0.00%,1,264,0.38%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,John Adams,None,"35,726","66,841",53.45%,71,276,25.72%,Vice Presidents were decided as second place at this point.  Adams became the President due to his experience in the Executive Branch and favored under the Federalist ticket.,TRUE
1796,Democratic-Republican,Thomas Jefferson,None,"31,115","66,841",46.55%,68,276,24.64%,Vice Presidents were decided as second place at this point. Jefferson became Vice President due to being popular on the Democratic-Republican ticket and winning 2nd to Adams.,FALSE
1796,Federalist,Thomas Pinckney,None,0,"66,841",0.00%,59,276,21.38%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,Aaron Burr,None,0,"66,841",0.00%,30,276,10.87%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,Samuel Adams,None,0,"66,841",0.00%,15,276,5.43%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Oliver Ellsworth,None,0,"66,841",0.00%,11,276,3.99%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,George Clinton,None,0,"66,841",0.00%,7,276,2.54%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,John Jay,None,0,"66,841",0.00%,5,276,1.81%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,James Iredell,None,0,"66,841",0.00%,3,276,1.09%,Vice Presidents were decided as second place at this point.,FALSE
1796,Independent,George Washington,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,John Henry,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Samuel Johnston,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Charles Cotesworth Pinckney,None,0,"66,841",0.00%,1,276,0.36%,Vice Presidents were decided as second place at this point.,FALSE
1800,Democratic-Republican,Thomas Jefferson,Aaron Burr,"45,511","75,142",60.57%,73,276,26.45%,Jefferson won the presidency due to winning the popular vote over Burr.,TRUE
1800,Federalist,John Adams,None,"29,621","75,142",39.42%,65,276,23.55%,Adams lost reelection due to the unpopularity of his Presidency.,FALSE
1800,Democratic-Republican,Aaron Burr,Thomas Jefferson,0,"75,142",0.00%,73,276,26.45%,Jefferson won the presidency due to winning the popular vote over Burr.,FALSE
1800,Federalist,Charles Cotesworth Pinckney,None,0,"75,142",0.00%,64,276,23.19%,,FALSE
1800,Federalist,John Jay,None,0,"75,142",0.00%,1,276,0.36%,,FALSE
1800,Other,Write-in,None,10,"75,142",0.01%,0,276,0.00%,,FALSE
1804,Democratic-Republican,Thomas Jefferson,George Clinton,"105,524","144,138",73.21%,162,176,92.05%,Since 1804 Vice Presidents were from the same party as Presidents.,TRUE
1804,Federalist,Charles Cotesworth Pinckney,Rufus King,"38,519","144,138",26.72%,14,176,7.95%,Since 1804 Vice Presidents were from the same party as Presidents.,FALSE
1804,Other,Write-in,None,95,"144,138",0.07%,0,176,0.00%,Since 1804 Vice Presidents were from the same party as Presidents.,FALSE
1808,Democratic-Republican,James Madison,George Clinton,"124,964","192,334",64.97%,113,176,64.20%,Madison won 122 total electoral votes and all popular vote while Clinton only got 113 electoral votes while Langdon due to 6 prefered him Clinton as President and 3 wanted a new Vice President.,TRUE
1808,Democratic-Republican,James Madison,John Langdon,0,"192,334",0.00%,9,176,5.11%,Madison won 122 total electoral votes and all popular vote while Clinton only got 113 electoral votes while Langdon due to 6 prefered him Clinton as President and 3 wanted a new Vice President.,FALSE
1808,Federalist,Charles Cotesworth Pinckney,Rufus King,"60,976","192,334",31.70%,47,176,26.70%,,FALSE
1808,Democratic-Republican,James Monroe,None,"5,618","192,334",2.92%,0,176,0.00%,,FALSE
1808,Democratic-Republican,George Clinton,James Madison,0,"192,334",0.00%,3,176,1.70%,3 faithless electoral votes from New York for Clinton as President and Madison as Vice President instead.,FALSE
1808,Democratic-Republican,George Clinton,James Monroe,0,"192,334",0.00%,3,176,1.70%,3 faithless electoral votes from New York for Clinton as President instead of Madison.,FALSE
1808,Other,Write-in,None,776,"192,334",0.40%,0,176,0.00%,,FALSE
1812,Democratic-Republican,James Madison,Elbridge Gerry,"140,431","279,456",50.25%,128,217,58.99%,,TRUE
1812,"Democratic-Republican/
Federalist",DeWitt Clinton,Jared Ingersoll,"132,781","279,456",47.51%,86,217,39.63%,Clinton won a total of 89 electoral votes but 3 faithless electoral voters voted for Gerry instead of Ingersoll for Vice President (2 from Masachussetts and 1 from New Hampshire).  Clinton was a moderate option for Federalists at the time.,FALSE
1812,"Democratic-Republican/
Federalist",DeWitt Clinton,Elbridge Gerry,0,"279,456",0.00%,3,217,1.38%,Clinton won a total of 89 electoral votes but 3 faithless electoral voters voted for Gerry instead of Ingersoll for Vice President (2 from Masachussetts and 1 from New Hampshire).  Clinton was a moderate option for Federalists at the time.,FALSE
1812,Federalist,Rufus King,William R. Davie,"5,583","279,456",2.00%,0,217,0.00%,Federalists ended up going with Clinton instead.,FALSE
1812,Other,Write-in,None,661,"279,456",0.24%,0,217,0.00%,,FALSE
1816,Democratic-Republican,James Monroe,Daniel D. Tompkins,"93,871","128,851",72.85%,183,217,84.33%,,TRUE
1816,Federalist,Rufus King,John Eager Howard,"16,983","128,851",13.18%,22,217,10.14%,Electors from Massachusetts voted for Howard as Vice President.,FALSE
1816,Federalist,Rufus King,James Ross,0,"128,851",0.00%,5,217,2.30%,Electors from Connecticut voted for Ross and Marshall as Vice President.,FALSE
1816,Federalist,Rufus King,John Marshall,0,"128,851",0.00%,4,217,1.84%,Electors from Connecticut voted for Ross and Marshall as Vice President.,FALSE
1816,Federalist,Rufus King,Robert Goodloe Harper,0,"128,851",0.00%,3,217,1.38%,Electors from Delaware voted for Harper as Vice President.,FALSE
1816,Other,Write-in,None,"17,997","128,851",13.97%,0,217,0.00%,Possible popular vote split between Ross/ Marshall/ or Harper as well as some undecided.,FALSE
1820,Democratic-Republican,James Monroe,Daniel D. Tompkins,"85,443","109,062",78.34%,218,232,93.97%,Monroe won the Presidency with the popular vote and gaining 228 electoral votes.,TRUE
1820,Democratic-Republican,James Monroe,Richard Stockton,0,"109,062",0.00%,8,232,3.45%,Federalists voted for a Federalist Vice President instead Tompkins.  Popular vote is for Monroe as President.  Federalist Electors from New Jersey voted for Stockton as Vice President.,FALSE
1820,Democratic-Republican,James Monroe,Daniel Rodney,0,"109,062",0.00%,4,232,1.72%,Federalists voted for a Federalist Vice President instead Tompkins.  Popular vote is for Monroe as President.  Federalists Electors from Delaware voted for Rodney.,FALSE
1820,Democratic-Republican,James Monroe,Robert Goodloe Harper,0,"109,062",0.00%,1,232,0.43%,Federalists voted for a Federalist Vice President instead Tompkins.  Popular vote is for Monroe as President.  1 Federalist from Maryland voted for Harper.,FALSE
1820,Democratic-Republican/ Federalist,John Quincy Adams,Richard Rush,0,"109,062",0.00%,1,232,0.43%,Faithless Federalist voter from New Hampshire voted for Adams Jr instead of Monroe,FALSE
1820,Federalist,Write-in,None,"20,660","109,062",18.94%,0,232,0.00%,Federalist vote was generally split between multiple different candidates who ended up as Vice Presidents in the Electoral Collage.,FALSE
1820,Democratic-Republican,DeWitt Clinton,None,"1,893","109,062",1.74%,0,232,0.00%,,FALSE
1820,Other,Write-in,None,"1,066","109,062",0.98%,0,232,0.00%,,FALSE
1824,"Democratic-Republican
(Adams faction)",John Quincy Adams,John C. Calhoun,"122,440","374,026",32.74%,74,261,28.35%,There was no clear majority for President but Calhoun was very popular as Vice President with 182 out of 261 electoral votes on all tickets especially Adams Jr and Jackson.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).  With the final results in 1825 Adams Jr getting the most electoral votes (2nd time) and Calhoun with the most votes win the Presidency and Vice Presidency.,TRUE
1824,"Democratic-Republican
(Adams faction)",John Quincy Adams,Andrew Jackson,0,"374,026",0.00%,9,261,3.45%,There was no clear majority for President.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).  Despite Jackson and his Jacksonian Democratic Party (Agrarianiam/ Populist/ Classic Liberalism/ Populism/ White Male Sufferage) won the popular vote but not the electoral vote with 99 out of 261 for President with Calhoun as VP (and 13 out of 261 for VP on all of his rivals tickets).  9 electors thought that Jackson as Adams Jr's Vice President would be a solution as a moderate presidency.,FALSE
1824,"Democratic-Republican
(Adams faction)",John Quincy Adams,None,0,"374,026",0.00%,1,261,0.38%,There was no clear majority for President but Calhoun was very popular as Vice President with 182 out of 261 electoral votes on all tickets especially Adams Jr and Jackson.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).  1 faithless elector decided it was not worth it to write in a Vice President for Adams Jr. due to not finding any VP worthy.,FALSE
1824,"Democratic-Republican
(Jackson faction)",Andrew Jackson,John C. Calhoun,"151,309","374,026",40.45%,99,261,37.93%,There was no clear majority for President but Calhoun was very popular as Vice President with 182 out of 261 electoral votes on all tickets especially Adams Jr and Jackson.  Despite Jackson and his Jacksonian Democratic Party (Agrarianiam/ Populist/ Classic Liberalism/ Populism/ White Male Sufferage) won the popular vote but not the electoral vote with 99 out of 261 for President with Calhoun as VP (and 13 out of 261 for VP on all of his rivals tickets).,FALSE
1824,"Democratic-Republican
(Clay faction)",Henry Clay,Nathan Sanford,"48,606","374,026",13.00%,28,261,10.73%,There was no clear majority for President.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).  Sanford recieved 30 out of 261 electoral votes for Vice President on Crawford and Clay's (who he campaigned with) tickets.,FALSE
1824,"Democratic-Republican
(Clay faction)",Henry Clay,John C. Calhoun,0,"374,026",0.00%,7,261,2.68%,There was no clear majority for President but Calhoun was very popular as Vice President with 182 out of 261 electoral votes on all tickets especially Adams Jr and Jackson.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).,FALSE
1824,"Democratic-Republican
(Clay faction)",Henry Clay,Andrew Jackson,0,"374,026",0.00%,3,261,1.15%,There was no clear majority for President.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP).  Despite Jackson and his Jacksonian Democratic Party (Agrarianiam/ Populist/ Classic Liberalism/ Populism/ White Male Sufferage) won the popular vote but not the electoral vote with 99 out of 261 for President with Calhoun as VP (and 13 out of 261 for VP on all of his rivals tickets).  3 electors thought that having Jackson as Clay's VP would have a moderate presidency.,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,Nathaniel Macon,"41,222","374,026",11.02%,24,261,9.20%,There was no clear majority for President.  Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  Macon recieved 24 out of 261 electoral votes for Vice President on Crawford's ticket (who he campaigned with).,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,Martin Van Buren,0,"374,026",0.00%,9,261,3.45%,There was no clear majority for President.  Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  Martin Van Buren recieved 9 electoral votes for Vice President on Crawford's ticket.,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,Henry Clay,0,"374,026",0.00%,2,261,0.77%,There was no clear majority for President.  The National Republican Party (Anti-Jacksonian/ Traditional Conservatism/ and Classic Liberalism) were initially split between Adams Jr (84 for President) and Clay (38 for President and 2 for Vice President to Crawford) but then in Feb 1825 Adams Jr officially won the Presidency due to Clay's faction joining Adams to beat Jackson totaling 122 out of 261 electoral votes for President (and defaulted with Calhoun as VP). Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  2 electors though that having Clay as Crawford's VP would be moderate and remove Jackson's extremism.,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,John C. Calhoun,0,"374,026",0.00%,2,261,0.77%,There was no clear majority for President but Calhoun was very popular as Vice President with 182 out of 261 electoral votes on all tickets especially Adams Jr and Jackson.  Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  2 electors thought that Calhoun would be great with Crawford.,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,Nathan Sanford,0,"374,026",0.00%,2,261,0.77%,There was no clear majority for President.  Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  Sanford recieved 30 out of 261 electoral votes for Vice President on Crawford and Clay's (who he campaigned with) tickets.,FALSE
1824,"Democratic-Republican
(Crawford faction)",William H. Crawford,Andrew Jackson,0,"374,026",0.00%,1,261,0.38%,There was no clear majority for President.  Despite Jackson and his Jacksonian Democratic Party (Agrarianiam/ Populist/ Classic Liberalism/ Populism/ White Male Sufferage) won the popular vote but not the electoral vote with 99 out of 261 for President with Calhoun as VP (and 13 out of 261 for VP on all of his rivals tickets).  Crawford and the Old Republican Party (Anti-Expansionism/ Classic Liberalism/ Republicanism) didn't win at all losing the popular vote and only getting 40 out of 261 electoral votes for President.  1 elector thought that having Jackson as Crawford's VP would move the party towards Jacksonian Democracy.,FALSE
1824,Other,Write-in,None,"10,449","374,026",2.79%,0,261,0.00%,,FALSE
1828,Democratic,Andrew Jackson,John C. Calhoun,"638,348","1,153,779",55.33%,171,261,65.52%,Faithless electors from Georgia voted for Smith instead of Calhoun.,TRUE
1828,Democratic,Andrew Jackson,William Smith,0,"1,153,779",0.00%,7,261,2.68%,Faithless electors from Georgia voted for Smith instead of Calhoun.,FALSE
1828,National Republican,John Quincy Adams,Richard Rush,"507,440","1,153,779",43.98%,83,261,31.80%,Adams Jr needed to find a new Vice President because Calhoun decided to support Jackson as President instead.,FALSE
1828,Other,Write-in,None,"7,991","1,153,779",0.69%,0,261,0.00%,,FALSE
1832,Democratic,Andrew Jackson,Martin Van Buren,"701,780","1,293,973",54.23%,189,286,66.08%,All 30 of Pennsylvania electors voted for Wilkins instead of Van Buren giving Jackson a total of 219 electoral votes,TRUE
1832,Democratic,Andrew Jackson,William Wilkins,0,"1,293,973",0.00%,30,286,10.49%,All 30 of Pennsylvania electors voted for Wilkins instead of Van Buren giving Jackson a total of 219 electoral votes,FALSE
1832,National Republican,Henry Clay,John Sergeant,"484,205","1,293,973",37.42%,49,286,17.13%,,FALSE
1832,Nullifier,John Floyd,Henry Lee,0,"1,293,973",0.00%,11,286,3.85%,South Carolina electors favored Floyd despite having 0 of the popular vote,FALSE
1832,Anti-Masonic,William Wirt,Amos Ellmaker,"100,715","1,293,973",7.78%,7,286,2.45%,,FALSE
1832,Other,Write-in,None,"7,273","1,293,973",0.56%,0,286,0.00%,,FALSE
1836,Democratic,Martin Van Buren,Richard Mentor Johnson,"764,176","1,503,534",50.83%,147,294,50.00%,All 23 of Virginia electors voted for Smith instead of Johnson,TRUE
1836,Democratic,Martin Van Buren,William Smith,0,"1,503,534",0.00%,23,294,7.82%,All 23 of Virginia electors voted for Smith instead of Johnson,FALSE
1836,Whig,William Henry Harrison,Francis Granger,"550,816","1,503,534",36.63%,63,294,21.43%,Harrison recieved a total of 73 electoral votes,FALSE
1836,Whig,William Henry Harrison,John Tyler,0,"1,503,534",0.00%,10,294,3.40%,Harrison recieved a total of 73 electoral votes,FALSE
1836,Whig,Hugh L. White,John Tyler,"146,107","1,503,534",9.72%,26,294,8.84%,,FALSE
1836,Whig,Daniel Webster,Francis Granger,"41,201","1,503,534",2.74%,14,294,4.76%,,FALSE
1836,Whig,Willie Person Mangum,John Tyler,0,"1,503,534",0.00%,11,294,3.74%,All 11 electoral votes from South Carolina went to Mangum and Tyler.,FALSE
1836,Other,Write-in,None,"1,234","1,503,534",0.08%,0,294,0.00%,,FALSE
1840,Whig,William Henry Harrison,John Tyler,"1,275,583","2,412,694",52.87%,234,294,79.59%,,TRUE
1840,Democratic,Martin Van Buren,Richard Mentor Johnson,"1,129,645","2,412,694",46.82%,48,294,16.33%,Van Buren recieved a total of 60 electoral votes,FALSE
1840,Democratic,Martin Van Buren,Littleton W. Tazewell,0,"2,412,694",0.00%,11,294,3.74%,Van Buren recieved a total of 60 electoral votes,FALSE
1840,Democratic,Martin Van Buren,James K. Polk,0,"2,412,694",0.00%,1,294,0.34%,Van Buren recieved a total of 60 electoral votes,FALSE
1840,Liberty,James G. Birney,Thomas Earle,"7,453","2,412,694",0.31%,0,294,0.00%,,FALSE
1840,Other,Write-in,None,13,"2,412,694",0.00%,0,294,0.00%,,FALSE
1844,Democratic,James K. Polk,George M. Dallas,"1,339,494","2,703,659",49.54%,170,275,61.82%,,TRUE
1844,Whig,Henry Clay,Theodore Frelinghuysen,"1,300,004","2,703,659",48.08%,105,275,38.18%,,FALSE
1840,Liberty,James G. Birney,Thomas Morris,"62,103","2,703,659",2.30%,0,275,0.00%,,FALSE
1840,Other,Write-in,None,"2,058","2,703,659",0.08%,0,275,0.00%,,FALSE
1848,Whig,Zachary Taylor,Millard Fillmore,"1,361,393","2,879,184",47.28%,163,290,56.21%,,TRUE
1848,Democratic,Lewis Cass,William Orlando Butler,"1,223,460","2,879,184",42.49%,127,290,43.79%,,FALSE
1848,Free Soil,Martin Van Buren,Charles Francis Adams Sr.,"291,501","2,879,184",10.12%,0,290,0.00%,,FALSE
1848,Liberty,Gerrit Smith,Charles C. Foote,"2,545","2,879,184",0.09%,0,290,0.00%,,FALSE
1840,Other,Write-in,None,285,"2,879,184",0.01%,0,290,0.00%,,FALSE
1852,Democratic,Franklin Pierce,William R. King,"1,607,510","3,161,830",50.84%,254,296,85.81%,,TRUE
1852,Whig,Winfield Scott,William Alexander Graham,"1,386,942","3,161,830",43.87%,42,296,14.19%,,FALSE
1852,Free Soil,John P. Hale,George Washington Julian,"155,210","3,161,830",4.91%,0,296,0.00%,,FALSE
1852,Other,Other Candidates,Other Candidates or None,"12,168","3,161,830",0.38%,0,296,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like the Know Nothing and Southern Rights Parties.,FALSE
1856,Democratic,James Buchanan,John C. Breckinridge,"1,836,072","4,054,647",45.28%,174,296,58.78%,,TRUE
1856,Republican,John C. Frémont,William L. Dayton,"1,342,345","4,054,647",33.11%,114,296,38.51%,,FALSE
1856,Know Nothing,Millard Fillmore,Andrew Jackson Donelson,"873,053","4,054,647",21.53%,8,296,2.70%,,FALSE
1856,Other,Write-in,None,"3,177","4,054,647",0.08%,0,296,0.00%,,FALSE
1860,Republican,Abraham Lincoln,Hannibal Hamlin,"1,855,276","4,676,645",39.67%,180,303,59.41%,,TRUE
